ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,1 | DIM03_00 | HS00.00 | Local EMO 1,2,"""COMM_WRK"".IO.HS00_00.io.sts",1,HS00_00,,,
,,,3,,2 | DIM03_01 | REMO | Remote EMO,2,"""COMM_WRK"".IO.REMO.io.sts",1,REMO,,,
,,,3,,3 | DIM03_02 | RLSAF | Remote Life Safety,2,"""COMM_WRK"".IO.RLSAF.io.sts",1,RLSAF,,,
,,,3,,4 | DIM03_03 | ZS20.00 | Common Cabinet Door Interlock 1,2,"""COMM_WRK"".IO.ZS20_00.io.sts",1,ZS20_00,,,
,,,3,,5 | DIM03_04 | PS00.00 | Cabinet Exhaust Fault,2,"""COMM_WRK"".IO.PS00_00.io.sts",1,PS00_00,,,
,,,3,,6 | DIM03_05 | LS00.05 | Cabinet Leak 2,2,"""COMM_WRK"".IO.LS00_05.io.sts",1,LS00_05,,,
,,,3,,7 | DIM03_06 | PS00.01 | Common Cabinet Exhaust Fault 2,2,"""COMM_WRK"".IO.PS00_01.io.sts",1,PS00_01,,,
,,,3,,8 | DIM03_07 | ZS00.00 | Control Cabinet Door Interlock,2,"""COMM_WRK"".IO.ZS00_00.io.sts",1,ZS00_00,,,
,,,3,,9 | DIM03_08 | LS00.04 | Cabinet Leak 1,2,"""COMM_WRK"".IO.LS00_04.io.sts",1,LS00_04,,,
,,,3,,10 | DIM03_09 | C2 | Primary VAC Loss,2,"""COMM_WRK"".IO.C2.io.sts",1,C2,,,
,,,3,,11 | DIM03_10 | DM1 | Redundancy Module 1 Fault,2,"""COMM_WRK"".IO.DM1.io.sts",1,DM1,,,
,,,3,,12 | DIM03_11 | DM2 | Redundancy Module 2 Fault,2,"""COMM_WRK"".IO.DM2.io.sts",1,DM2,,,
,,,3,,13 | DIM03_12 | PSP1 | Power Supply 1 Fault,2,"""COMM_WRK"".IO.PSP1.io.sts",1,PSP1,,,
,,,3,,14 | DIM03_13 | PSP2 | Power Supply 2 Fault,2,"""COMM_WRK"".IO.PSP2.io.sts",1,PSP2,,,
,,,3,,15 | DIM03_14 | ZS00.01 | Alarm Bypass Key Switch,2,"""COMM_WRK"".IO.ZS00_01.io.sts",1,ZS00_01,,,
,,,3,,16 | DIM03_15 | R10 | EMO Enable,2,"""COMM_WRK"".IO.R10.io.sts",1,R10,,,
,,,3,,17 | DIM04_00 | LS50.07 | Sample Overfill,2,"""COMM_WRK"".IO.LS50_07.io.sts",1,LS50_07,,,
,,,3,,18 | DIM04_01 | ZS70.00 | Sample Door Interlock,2,"""COMM_WRK"".IO.ZS70_00.io.sts",1,ZS70_00,,,
,,,3,,19 | DIM04_02 | HS70.00 | Sample Dispense Button,2,"""COMM_WRK"".IO.HS70_00.io.sts",1,HS70_00,,,
,,,3,,20 | DIM04_03 | LS | Sample Drain,2,"""COMM_WRK"".IO.LS.io.sts",1,LS,,,
,,,3,,21 | DIM04_04 | PS21.00 | Engine 1 Exhaust Fault,2,"""COMM_WRK"".IO.PS21_00.io.sts",1,PS21_00,,,
,,,3,,22 | DIM04_05 | PS22.00 | Engine 2 Exhaust Fault,2,"""COMM_WRK"".IO.PS22_00.io.sts",1,PS22_00,,,
,,,3,,23 | DIM04_06 | LS50.01 | Waste Vessel Low,2,"""COMM_WRK"".IO.LS50_01.io.sts",1,LS50_01,,,
,,,3,,24 | DIM04_07 | LS50.03 | Waste Vessel Full,2,"""COMM_WRK"".IO.LS50_03.io.sts",1,LS50_03,,,
,,,3,,25 | DIM04_08 | LS50.04 | Waste Vessel High,2,"""COMM_WRK"".IO.LS50_04.io.sts",1,LS50_04,,,
,,,3,,26 | DIM04_09 | LS50.05 | Waste Vessel High High,2,"""COMM_WRK"".IO.LS50_05.io.sts",1,LS50_05,,,
,,,3,,27 | DIM04_10 | FS86.00 | Waste Dilution Flow Switch,2,"""COMM_WRK"".IO.FS86_00.io.sts",1,FS86_00,,,
,,,3,,28 | DIM04_11 | FS50.00 | Waste Flow Switch,2,"""COMM_WRK"".IO.FS50_00.io.sts",1,FS50_00,,,
,,,3,,29 | DIM04_12 | ZS20.01 | Common Cabinet Door Interlock 2,2,"""COMM_WRK"".IO.ZS20_01.io.sts",1,ZS20_01,,,
,,,3,,30 | DIM04_13 | C4 | Pump Primary VAC Loss,2,"""COMM_WRK"".IO.C4.io.sts",1,C4,,,
,,,3,,31 | DIM04_14 |   | HPM1 Shutdown (From the Customer),2,"""COMM_WRK"".IO.HPM1.io.sts",1,HPM1,,,
,,,3,,32 | DIM04_15 |   | HPM2 Shutdown (From the Customer),2,"""COMM_WRK"".IO.HPM2.io.sts",1,HPM2,,,
,,,3,,33 | DIM05_00 | LS21.00 | Tank 21.00 Low Low,2,"""COMM_WRK"".IO.LS21_00.io.sts",1,LS21_00,,,
,,,3,,34 | DIM05_01 | LS21.01 | Tank 21.00 Low,2,"""COMM_WRK"".IO.LS21_01.io.sts",1,LS21_01,,,
,,,3,,35 | DIM05_02 | LS21.02 | Tank 21.00 Fill,2,"""COMM_WRK"".IO.LS21_02.io.sts",1,LS21_02,,,
,,,3,,36 | DIM05_03 | LS21.03 | Tank 21.00 Full,2,"""COMM_WRK"".IO.LS21_03.io.sts",1,LS21_03,,,
,,,3,,37 | DIM05_04 | LS21.04 | Tank 21.00 High,2,"""COMM_WRK"".IO.LS21_04.io.sts",1,LS21_04,,,
,,,3,,38 | DIM05_05 | LS21.05 | Tank 21.00 High High,2,"""COMM_WRK"".IO.LS21_05.io.sts",1,LS21_05,,,
,,,3,,39 | DIM05_06 | LS21.06 | Tank 21.00 Lower Containment Leak 1,2,"""COMM_WRK"".IO.LS21_06.io.sts",1,LS21_06,,,
