ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,445 | DIM02_00 | HS00.00 | Local EMO,2,"""SCME_WRK"".io.HS00_00.io.sts",1,SCME_HS00_00,,,
,,,3,,446 | DIM02_01 | REMO | Remote EMO,2,"""SCME_WRK"".io.REMO.io.sts",1,SCME_REMO,,,
,,,3,,447 | DIM02_02 | RLSAF | Remote Life Safety,2,"""SCME_WRK"".io.RLSAF.io.sts",1,SCME_RLSAF,,,
,,,3,,"448 | DIM02_03 | HS20.00 | CTU, BCTU, CTDM EMO",2,"""SCME_WRK"".io.HS20_00.io.sts",1,SCME_HS20_00,,,
,,,3,,449 | DIM02_04 | PS00.00 | Cabinet Exhaust Fault,2,"""SCME_WRK"".io.PS00_00.io.sts",1,SCME_PS00_00,,,
,,,3,,450 | DIM02_05 | LS00.05 | Cabinet Leak 2,2,"""SCME_WRK"".io.LS00_05.io.sts",1,SCME_LS00_05,,,
,,,3,,451 | DIM02_06 |  | SPARE,2,"""SCME_WRK"".io.DIM02_06.io.sts",1,SCME_DIM02_06,,,
,,,3,,452 | DIM02_07 | ZS00.00 | Control Cabinet Door Interlock,2,"""SCME_WRK"".io.ZS00_00.io.sts",1,SCME_ZS00_00,,,
,,,3,,453 | DIM02_08 | PS02.00 | Z Purge,2,"""SCME_WRK"".io.PS02_00.io.sts",1,SCME_PS02_00,,,
,,,3,,454 | DIM02_09 |  | Remote Fire Suppression Discharge,2,"""SCME_WRK"".io.DIM02_09.io.sts",1,SCME_DIM02_09,,,
,,,3,,455 | DIM02_10 |  | Fire Detected,2,"""SCME_WRK"".io.DIM02_10.io.sts",1,SCME_DIM02_10,,,
,,,3,,456 | DIM02_11 | BS10.00 | Fire Detector Fault,2,"""SCME_WRK"".io.BS10_00.io.sts",1,SCME_BS10_00,,,
